id,block,trial,trcond,coh,dir,error,RT,MT,outcome,SoA
1,1,1,1,1,-1,1,736,322,50,69
1,1,2,3,2,1,0,746,1730,50,52.3
1,1,3,1,1,-1,1,820,839,75,
1,1,4,1,1,1,1,765,1377,50,52.5
1,1,5,1,1,-1,1,757,305,25,19.2
1,1,6,1,1,1,0,643,491,75,
1,1,7,1,1,1,0,708,612,75,
1,1,8,3,2,-1,99,, , ,
1,1,9,1,1,1,0,541,354,50,59.8
1,1,10,1,1,-1,0,794,1066,50,11.5
1,1,11,1,1,-1,0,726,1514,50,37.2
1,1,12,2,2,1,0,486,503,50,69.5
1,1,13,1,1,1,0,597,501,75,72.2
1,1,14,1,1,1,0,616,312,25,
1,1,15,1,1,-1,99,, , ,
1,1,16,1,1,-1,0,739,1702,100,
1,1,17,1,1,1,0,712,417,25,3.5
1,1,18,2,2,1,0,558,420,75,97.5
1,1,19,1,1,1,0,549,345,25,
1,1,20,1,1,-1,0,537,409,75,67.3
1,1,21,1,1,1,1,466,882,50,35.8
1,1,22,1,1,1,0,662,403,100,
1,1,23,2,2,-1,0,640,579,25,
1,1,24,3,2,1,0,716,851,50,14.5
1,1,25,3,2,-1,0,547,419,50,
1,1,26,2,2,-1,0,710,518,50,
1,1,27,3,2,-1,0,656,497,50,
1,1,28,1,1,-1,0,450,362,50,
1,1,29,1,1,-1,1,725,1681,50,16.7
1,1,30,1,1,-1,0,609,1057,50,
1,2,1,1,1,1,0,721,305,50,
1,2,2,1,1,-1,1,523,263,50,27.7
1,2,3,1,1,1,0,569,388,75,73.3
1,2,4,2,2,1,0,648,487,100,99.8
1,2,5,3,2,-1,0,705,395,50,
1,2,6,1,1,1,0,543,282,100,
1,2,7,1,1,1,0,440,267,100,99.5
1,2,8,1,1,1,1,516,1284,50,29
1,2,9,1,1,1,0,559,271,75,
1,2,10,1,1,-1,0,518,1751,50,13
1,2,11,3,2,-1,0,825,432,25,27.7
1,2,12,1,1,-1,99,, , ,
1,2,13,1,1,1,0,726,1040,50,32.7
1,2,14,1,1,-1,0,726,1438,50,24.2
1,2,15,1,1,-1,0,642,744,50,10.7
1,2,16,2,2,-1,0,822,356,75,
1,2,17,1,1,-1,0,795,336,50,
1,2,18,1,1,1,99,, , ,
1,2,19,1,1,1,0,718,1638,50,30.7
1,2,20,3,2,1,0,636,216,25,
1,2,21,1,1,-1,1,756,510,25,
1,2,22,1,1,-1,1,437,437,75,
1,2,23,1,1,1,1,580,1177,50,8.7
1,2,24,1,1,-1,0,676,358,75,
1,2,25,1,1,1,0,739,749,50,
1,2,26,1,1,-1,0,682,517,50,57.5
1,2,27,1,1,-1,0,664,427,75,
1,2,28,3,2,1,0,631,780,100,0.8
1,2,29,2,2,1,0,721,450,25,
1,2,30,2,2,-1,0,809,497,75,63.5
1,3,1,1,1,-1,1,690,212,25,
1,3,2,1,1,-1,99,, , ,
1,3,3,3,2,1,0,564,813,75,28.2
1,3,4,3,2,1,0,530,276,50,
1,3,5,1,1,1,0,499,432,50,
1,3,6,1,1,-1,0,632,1160,50,20.5
1,3,7,1,1,1,0,690,221,100,
1,3,8,1,1,-1,0,757,1615,50,58.2
1,3,9,1,1,-1,1,699,1232,50,0.3
1,3,10,1,1,-1,0,596,461,100,57.7
1,3,11,1,1,1,0,520,711,25,
1,3,12,1,1,-1,0,782,379,50,
1,3,13,1,1,-1,0,796,380,75,
1,3,14,2,2,1,0,544,573,50,67.8
1,3,15,1,1,-1,1,861,251,50,
1,3,16,1,1,1,0,744,259,25,
1,3,17,1,1,1,0,637,573,25,17.2
1,3,18,3,2,-1,99,, , ,
1,3,19,1,1,-1,0,563,437,25,
1,3,20,1,1,1,1,862,1475,50,25.7
1,3,21,1,1,1,0,575,533,100,
1,3,22,3,2,1,0,707,627,25,
1,3,23,2,2,-1,1,545,445,50,33.5
1,3,24,1,1,1,1,623,1401,50,41.7
1,3,25,2,2,-1,0,720,516,50,38
1,3,26,1,1,1,1,768,1980,50,62.7
